,variable,value,n,pct
1,…candidates or election issues,1,145,8.055555556
2,…candidates or election issues,2,269,14.94444444
3,…candidates or election issues,3,572,31.77777778
4,…candidates or election issues,4,296,16.44444444
5,…candidates or election issues,5,518,28.77777778
6,...the electoral process,1,725,40.27777778
7,...the electoral process,2,295,16.38888889
8,...the electoral process,3,294,16.33333333
9,...the electoral process,4,103,5.722222222
10,...the electoral process,5,383,21.27777778
11,...electoral integrity,1,727,40.38888889
12,...electoral integrity,2,310,17.22222222
13,...electoral integrity,3,300,16.66666667
14,...electoral integrity,4,96,5.333333333
15,...electoral integrity,5,367,20.38888889
